"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZZLJFSQ5","journalArticle","1995","Weymark, John A.","John Harsanyi's contributions to social choice and welfare economics","Social Choice and Welfare","","1432-217X","10.1007/BF00186276","https://doi.org/10.1007/BF00186276","This article provides an overview of John Harsanyi's contributions to Social Choice and Welfare Economics.","1995-10-01","2024-03-31 21:31:18","2024-03-31 21:31:18","","313-318","","4","12","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PB7TJNSC","journalArticle","1993","Broome, John","A cause of preference is not an object of preference","Social Choice and Welfare","","1432-217X","10.1007/BF00187433","https://doi.org/10.1007/BF00187433","Welfare economists sometimes treat a cause of preference as an object of preference. This paper explains that this is an error. It examines two examples where the error has occurred. One is from the theory of endogenous preferences. The other is from the theory of extended preferences. People have erroneously been led to believe that everyone must have the same extended preferences, and this has led them to think that extended preferences can be the basis of interpersonal comparisons of wellbeing. But actually the basis of interpersonal comparisons must come from elsewhere.","1993-01-01","2024-03-31 21:36:39","2024-03-31 21:36:39","","57-68","","1","10","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FB4F67CV","journalArticle","1992","Guttman, Joel M.; Schnytzer, Adi","A solution of the externality problem using strategic matching","Social Choice and Welfare","","1432-217X","10.1007/BF00177674","https://doi.org/10.1007/BF00177674","This paper develops a Coase-like solution of the problem of inducing Pareto optimal behavior in the presence of reciprocal externalities. In place of Coasean direct compensation between the parties to an externality problem, actors strategically match each other's externality-producing activity, and thus induce counterparts to internalize the external benefits or costs of their actions. The analysis suggests a general framework for analyzing social interactions in the presence of reciprocal externalities. As an application of the theory, a solution of the duopoly problem is noted.","1992-01-01","2024-03-31 21:40:14","2024-03-31 21:40:14","","73-88","","1","9","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YU453GXR","journalArticle","2012","Sen, Amartya","The reach of social choice theory","Social Choice and Welfare","","1432-217X","10.1007/s00355-011-0613-7","https://doi.org/10.1007/s00355-011-0613-7","","2012-07-01","2024-04-01 09:26:40","2024-04-01 09:26:40","","259-272","","2","39","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SIFQIYWI","journalArticle","2014","Valletta, Giacomo","Health, fairness and taxation","Social Choice and Welfare","","1432-217X","10.1007/s00355-013-0768-5","https://doi.org/10.1007/s00355-013-0768-5","We consider a model where agents differ in their preferences about consumption labor and health, in their (health-dependent) earning ability, and in their health disposition. We study the joint taxation of income and health expenditure, under incentive-compatibility constraints, on the basis of efficiency and fairness principles. The fairness principles we consider propose, on one side, to reduce inequalities deriving from factors that do not depend on individuals’ responsibility. On the other side, redistribution should be precluded at least when all agents in the economy have equal physical characteristics. We construct, on the basis of such principles, a particular social welfare function. Then we give the explicit formula for the comparison of tax policies: we prove that a tax reform should always benefit agents with the worst earning ability and the worst health disposition first. Finally, in some cases, at the bottom of the income distribution the optimal tax scheme should exhibit non-uniform tax rates over health expenditure and non-positive average marginal tax rates over income.","2014-06-01","2024-04-01 09:32:26","2024-04-01 09:32:26","","101-140","","1","43","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UACLXVDQ","journalArticle","2003","Ng, Yew-Kwang","From preference to happiness: Towards a more complete welfare economics","Social Choice and Welfare","","1432-217X","10.1007/s003550200184","https://doi.org/10.1007/s003550200184","Welfare economics is incomplete as it analyzes preference without going on to analyze welfare (or happiness) which is the ultimate objective. Preference and welfare may differ due to imperfect knowledge, imperfect rationality, and/or a concern for the welfare of others (non-affective altruism). Imperfection in knowledge and rationality has a biological basis and the resulting accumulation instinct amplifies with advertising-fostered consumerism to result in a systematic materialistic bias, as supported by recent evidence on happiness and quality of life. Such a bias, in combination with relative-income effects, environmental disruption effects, and over-estimation of the excess burden of taxation, results in the over-spending on private consumption and under-provision of public goods, and may make economic growth welfare-reducing. A cost-benefit analysis aiming even just at preference maximization should offset the excess burden of financing for public projects by the indirect effect through the relative-income effect and by the environmental disruption effect. A cost-benefit analysis aiming at welfare maximization should, in addition, adjust the marginal consumption benefits of public projects upward by a proportion determined by the proportionate excess of marginal utility over marginal welfare of consumption. The environmental disruption effects have also to be similarly adjusted upward. However, the productive contributions of public projects should not be so adjusted.","2003-03-01","2024-04-01 09:33:38","2024-04-01 09:33:38","","307-350","","2","20","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WN4GHUMB","journalArticle","1994","Kolm, S. -C.","The meaning of “fundamental preferences”","Social Choice and Welfare","","1432-217X","10.1007/BF00193804","https://doi.org/10.1007/BF00193804","We present the definition and meaning of “fundamental preferences” that are interpersonally comparable, ordinal and endemonistic. We also dispel a number of misunderstandings concerning them. In the article “A cause of preference is not on object of preference” (Soc Choice Welfare (1993) 10: 57–68), Professor Broome misinterprets the notion of “fundamental preferences” in confusing an observer's device for a psychological transformation of the observed (as if an economist studying wealth meant that he becomes wealthy, or if physicians had to be sick — this is well shown in his interpretation of a sentence of mine in p 65 where the crucial switch to the first person is his own). Considering a new set of variables that includes both structural parameters and former variables, hence variables of different kinds, assumes nothing new concerning the observed object; namely, it says neither that the consumption of bread becomes “a cause” of the taste for jam, nor that the individual likes (or dislikes) his own tastes, or anything like this (the accusation of “fantasy”). We shall suggest that certain other views receive a similar treatment in this paper. This misunderstanding is regrettable, since the consideration of fundamental preferences is unavoidable in social ethics, both when one has to compare all-encompassing individual situations, and for the preferences of the hypothetical identical individuals in an Original Position device where they evaluate at once what they might have and what they might beI wish to thank Professor Broome for comments on an earlier version of this note..","1994-07-01","2024-04-01 09:37:09","2024-04-01 09:37:09","","193-198","","3","11","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24L325GB","journalArticle","1999","Ng, Yew-Kwang","Utility, informed preference, or happiness: Following Harsanyi's argument to its logical conclusion","Social Choice and Welfare","","1432-217X","10.1007/s003550050140","https://doi.org/10.1007/s003550050140","Harsanyi (1997) argues that, for normative issues, informed preferences should be used, instead of actual preferences or happiness (or welfare). Following his argument allowing him to move from actual to informed preferences to its logical conclusion forces us to use happiness instead. Where informed preferences differ from happiness due to a pure concern for the welfare of others, using the former involves multiple counting. This “concerning effect” (non-affective altruism) differs from and could be on top of the “minding effect” (affective altruism) of being happy seeing or helping others to be happy. The concerning/minding effect should be excluded/included in social decision. Non-affective altruism is shown to exist in a compelling hypothetical example. Just as actual preferences should be discounted due to the effects of ignorance and spurious preferences, informed preferences should also be discounted due to some inborn or acquired tendencies to be irrational, such as placing insufficient weights on the welfare of the future, maximizing our biological fitness instead of our welfare. Harsanyi's old result on utilitarianism is however defended against criticisms in the last decade.","1999-02-01","2024-04-01 09:38:41","2024-04-01 09:38:41","","197-216","","2","16","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5VAEEUHC","journalArticle","1994","Kolm, Serge-Christophe","Rejoinder to John Broome","Social Choice and Welfare","","1432-217X","10.1007/BF00193806","https://doi.org/10.1007/BF00193806","","1994-07-01","2024-04-01 09:39:15","2024-04-01 09:39:15","","203-204","","3","11","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UGGXTK9G","journalArticle","1992","Ng, Yew-Kwang","Utilitarianism and interpersonal comparison","Social Choice and Welfare","","1432-217X","10.1007/BF00177666","https://doi.org/10.1007/BF00177666","Beliefs in the impossibility of interpersonal comparison of welfare and the unacceptability of utilitarianism are based on a non-materialist solution to the theory of mind, i.e. on the existence of a soul. The compellingness of the theory of evolution and some discoveries in brain sciences render (philosophical) materialism very persuasive. The acceptance of materialism implies the negation of free will, non-significance of the self (no substantial reason to care much more about the welfare of one's own future self than the welfare of others), possibility of interpersonal comparison of welfare, compellingness of utilitarianism, and the possibility of conscious machines. Searle's argument on the impossibility of rigorous social sciences is however rejected.","1992-01-01","2024-04-01 09:41:51","2024-04-01 09:41:51","","1-15","","1","9","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
