"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZZLJFSQ5","journalArticle","1995","Weymark, John A.","John Harsanyi's contributions to social choice and welfare economics","Social Choice and Welfare","","1432-217X","10.1007/BF00186276","https://doi.org/10.1007/BF00186276","This article provides an overview of John Harsanyi's contributions to Social Choice and Welfare Economics.","1995-10-01","2024-03-31 21:31:18","2024-03-31 21:31:18","","313-318","","4","12","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E6ZU6QSY","journalArticle","1987","Kelly, J. S.","An interview with Kenneth J. Arrow","Social Choice and Welfare","","1432-217X","10.1007/BF00433955","https://doi.org/10.1007/BF00433955","","1987-03-01","2024-03-31 21:33:35","2024-03-31 21:33:35","","43-62","","1","4","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PB7TJNSC","journalArticle","1993","Broome, John","A cause of preference is not an object of preference","Social Choice and Welfare","","1432-217X","10.1007/BF00187433","https://doi.org/10.1007/BF00187433","Welfare economists sometimes treat a cause of preference as an object of preference. This paper explains that this is an error. It examines two examples where the error has occurred. One is from the theory of endogenous preferences. The other is from the theory of extended preferences. People have erroneously been led to believe that everyone must have the same extended preferences, and this has led them to think that extended preferences can be the basis of interpersonal comparisons of wellbeing. But actually the basis of interpersonal comparisons must come from elsewhere.","1993-01-01","2024-03-31 21:36:39","2024-03-31 21:36:39","","57-68","","1","10","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KFNCT7MH","conferencePaper","1988","Dasgupta, P.","Lives and Well-Being","Distributive Justice and Inequality","978-3-642-73816-6","","","","This article attempts to use the analytical framework of social choice theory for exploring the ethical foundations of population policies. It is argued that non-existence is not a state and therefore that different numbers problems are conceptionally different from same numbers problems that concern much theoretical welfare economics. By means of examples it is argued that we should not expect to find an overall ethical ordering of social states when the sizç of future generations is subject to choice.","1988","2024-03-31 21:39:17","2024-03-31 21:39:17","","15-38","","","","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","","","","","","","","","Gaertner, Wulf; Pattanaik, Prasanta K.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FB4F67CV","journalArticle","1992","Guttman, Joel M.; Schnytzer, Adi","A solution of the externality problem using strategic matching","Social Choice and Welfare","","1432-217X","10.1007/BF00177674","https://doi.org/10.1007/BF00177674","This paper develops a Coase-like solution of the problem of inducing Pareto optimal behavior in the presence of reciprocal externalities. In place of Coasean direct compensation between the parties to an externality problem, actors strategically match each other's externality-producing activity, and thus induce counterparts to internalize the external benefits or costs of their actions. The analysis suggests a general framework for analyzing social interactions in the presence of reciprocal externalities. As an application of the theory, a solution of the duopoly problem is noted.","1992-01-01","2024-03-31 21:40:14","2024-03-31 21:40:14","","73-88","","1","9","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YU453GXR","journalArticle","2012","Sen, Amartya","The reach of social choice theory","Social Choice and Welfare","","1432-217X","10.1007/s00355-011-0613-7","https://doi.org/10.1007/s00355-011-0613-7","","2012-07-01","2024-04-01 09:26:40","2024-04-01 09:26:40","","259-272","","2","39","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NM9VD7AT","journalArticle","1989","Cowen, T.","Normative population theory","Social Choice and Welfare","","1432-217X","10.1007/BF00433361","https://doi.org/10.1007/BF00433361","Utilitarian and contractarian solutions to the problem of optimal population are examined and shown to have unacceptable implications. As argued by Parfit, for instance, utilitarianism may imply large numbers of people at a very low standard of living. An analogy is drawn between optimal population for a society and the optimal structure of an individual life. The ideal life need not maximize cardinal utility, because an individual may prefer a shorter life with less, more intense utility to a very long life with higher total utility (“Methuselah's Paradox”). The optimal population is what an individual would prefer if he had to sequentially live out each life in his choice.","1989-01-01","2024-04-01 09:28:02","2024-04-01 09:28:02","","33-43","","1","6","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U39U6YGX","journalArticle","2013","Calvo, Cesar; Dercon, Stefan","Vulnerability to individual and aggregate poverty","Social Choice and Welfare","","1432-217X","10.1007/s00355-012-0706-y","https://doi.org/10.1007/s00355-012-0706-y","We propose families of measures for vulnerability to both individual and aggregate poverty. We view vulnerability as the burden caused by the threat of poverty. Exposure to states of the world where hardship may strike causes distress ex-ante, even if ex-post the dice are benign and poverty (consumption below a critical norm) does not materialise. We ensure our measures meet a set of desirable axioms—in the case of aggregate vulnerability, this set includes sensitivity to the degree of correlation of outcomes across individuals. We argue that individual vulnerability levels are not enough to compose the aggregate picture, e.g. because society may be wary of the threat of simultaneous, widespread poverty. We illustrate with data from Ethiopia, where rainfall risks are found to raise vulnerability to poverty despite sustained increases in consumption.","2013-10-01","2024-04-01 09:29:03","2024-04-01 09:29:03","","721-740","","4","41","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SIFQIYWI","journalArticle","2014","Valletta, Giacomo","Health, fairness and taxation","Social Choice and Welfare","","1432-217X","10.1007/s00355-013-0768-5","https://doi.org/10.1007/s00355-013-0768-5","We consider a model where agents differ in their preferences about consumption labor and health, in their (health-dependent) earning ability, and in their health disposition. We study the joint taxation of income and health expenditure, under incentive-compatibility constraints, on the basis of efficiency and fairness principles. The fairness principles we consider propose, on one side, to reduce inequalities deriving from factors that do not depend on individuals’ responsibility. On the other side, redistribution should be precluded at least when all agents in the economy have equal physical characteristics. We construct, on the basis of such principles, a particular social welfare function. Then we give the explicit formula for the comparison of tax policies: we prove that a tax reform should always benefit agents with the worst earning ability and the worst health disposition first. Finally, in some cases, at the bottom of the income distribution the optimal tax scheme should exhibit non-uniform tax rates over health expenditure and non-positive average marginal tax rates over income.","2014-06-01","2024-04-01 09:32:26","2024-04-01 09:32:26","","101-140","","1","43","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UACLXVDQ","journalArticle","2003","Ng, Yew-Kwang","From preference to happiness: Towards a more complete welfare economics","Social Choice and Welfare","","1432-217X","10.1007/s003550200184","https://doi.org/10.1007/s003550200184","Welfare economics is incomplete as it analyzes preference without going on to analyze welfare (or happiness) which is the ultimate objective. Preference and welfare may differ due to imperfect knowledge, imperfect rationality, and/or a concern for the welfare of others (non-affective altruism). Imperfection in knowledge and rationality has a biological basis and the resulting accumulation instinct amplifies with advertising-fostered consumerism to result in a systematic materialistic bias, as supported by recent evidence on happiness and quality of life. Such a bias, in combination with relative-income effects, environmental disruption effects, and over-estimation of the excess burden of taxation, results in the over-spending on private consumption and under-provision of public goods, and may make economic growth welfare-reducing. A cost-benefit analysis aiming even just at preference maximization should offset the excess burden of financing for public projects by the indirect effect through the relative-income effect and by the environmental disruption effect. A cost-benefit analysis aiming at welfare maximization should, in addition, adjust the marginal consumption benefits of public projects upward by a proportion determined by the proportionate excess of marginal utility over marginal welfare of consumption. The environmental disruption effects have also to be similarly adjusted upward. However, the productive contributions of public projects should not be so adjusted.","2003-03-01","2024-04-01 09:33:38","2024-04-01 09:33:38","","307-350","","2","20","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
